Filename,Original_Title,Language,Epoch,Area,Lines,Tokens
015_Poučenie_pred_pričastie.txt,Poučenie pred pričastie,Old Russian,Church Slavonic,Russia,33,839
016_Pooučenie_na_stǫjǫ_paschǫ.txt,Pooučenie na stǫjǫ paschǫ,Old Russian,Church Slavonic,Russia,13,690
017_Učitelno_evangelie.txt,Učitelno evangelie,Old Russian,Church Slavonic,Russia,6475,45885
018_Varlaam_s_donation_charter_to_the_Xutyn_monastery.txt,Varlaam’s donation charter to the Xutyn monastery,Old Russian,Church Slavonic,,2,178
019_Statute_of_Prince_Vladimir.txt,Statute of Prince Vladimir,Old Russian,Church Slavonic,,6,582
020_Colophon_to_Mstislav_s_Gospel_book.txt,Colophon to Mstislav’s Gospel book,Old Russian,Church Slavonic,,4,327
021_Kratăk_Zlatostruj.txt,Kratăk Zlatostruj,Old Russian,Church Slavonic,Russia,13667,122758
022_The_First_Novgorod_Chronicle_Synodal_manuscript.txt,"The First Novgorod Chronicle, Synodal manuscript",Old Russian,Church Slavonic,,199,22560
023_Novgorod_s_treaty_with_Grand_Prince_Jaroslav_Jaros.txt,"Novgorod’s treaty with Grand Prince Jaroslav Jaroslavich, 1266",Old Russian,Church Slavonic,,5,477
024_Uspenskij_sbornik.txt,Uspenskij sbornik,Old Russian,Church Slavonic,,281,28294
025_The_Kiev_Chronicle_Codex_Hypatianus.txt,"The Kiev Chronicle, Codex Hypatianus",Old Russian,Church Slavonic,"Kiev, Ukraine",7,625
026_The_1229_Treaty_between_Smolensk_Riga_and_Gotland.txt,"The 1229 Treaty between Smolensk, Riga and Gotland (version A)",Old Russian,Church Slavonic,"Riga, Latvia",17,1475
027_SLOVO_OUPATIJA_jefesăkago.txt,SLOVO OUPATIJA jefesăkago,Old Serbian,Church Slavonic,"Ephesus , Turkey",4,420
028_Slovo_stgo_Polouta_Rim_skago_o_t_kovanii_danilově.txt,Slovo stgo Polouta Rim'skago o t'kovanii danilově,Old Serbian,Church Slavonic,"Rome , IT",4,309
029_A_ce_t_kovanie_danilovo.txt,A ce t'kovanie danilovo,Old Serbian,Church Slavonic,,13,1293
030_Viděnije_Danila_Propoka_o_crěch_i_poslědnich_dnech.txt,Viděnije Danila Propoka o crěch' i poslědnich' dnech' i o končině věka,Old Serbian,Church Slavonic,,18,1795
031_Stago_Metodija_Jepiskoupa_Patr_skago_Oukazanie_ist.txt,Stago Metodija Jepiskoupa Patr'skago Oukazanie istoje o crěch' i o poslědnich' dnech' i lětchă,Old Serbian,Church Slavonic,"Patras, Greece",36,3302
032_Stich_videnije_Danila_pr_o_rka.txt,Stich' videnije Danila pr(o)rka,Old Serbian,Church Slavonic,,6,484
033_Viděnije_Isaie_Pro_r_ka_o_poslědnem_vrěmeni_č_to_c.txt,Viděnije Isaie Pro(r)ka o poslědnem' vrěmeni [č]to choščhet' byti rodou člo[v]čju poslědnemou kolěnou,Old Serbian,Church Slavonic,,14,1332
034_Pan_dechovo_pr_o_rč_skoje_skazanie.txt,Pan'dechovo pr(o)rč'skoje skazanie,Old Serbian,Church Slavonic,,4,339
035_Russkaja_Pravda.txt,Russkaja Pravda,Old Russian,Church Slavonic,,40,4293
036_Missive_from_the_Archbishop_of_Riga_to_the_Prince.txt,"Missive from the Archbishop of Riga to the Prince of Smolensk, Old Church Slavonic Treebank",Old Russian,Church Slavonic,,2,183
037_Birchbark_letters.txt,Birchbark letters,Old Russian,Church Slavonic,,20,1941
038_Mesecă_oktjabr_fei_den_Pamjat_podrobnago_otza_ioan.txt,Mesecă oktjabr' fei den' Pamjat' podrobnago otza ioanna pustynnika,Middle Bulgarian,Church Slavonic,,373,3771
039_Pochvalno_slovo_za_sv_Kiril.txt,Pochvalno slovo za sv. Kiril,Middle Bulgarian,Church Slavonic,Bulgaria,11,620
040_Kanon_za_polagane_rizata_i_pojasa_na_Sv_Borodica.txt,Kanon za polagane rizata i pojasa na Sv. Borodica,Middle Bulgarian,Church Slavonic,Bulgaria,12,703
041_Pochvala_na_prěstavlenie_prěstyja_bzja.txt,Pochvala na prěstavlenie prěstyja bzja,Old Serbian,Church Slavonic,Serbia,13,797
042_Položenie_rizě_i_poěsou_prěstyja_bcja.txt,Položenie rizě i poěsou prěstyja bcja,Middle Bulgarian,Church Slavonic,Bulgaria,15,746
043_Pochvala_na_prěstavlenie_vlačicja_našeja_bcja_i_pr.txt,Pochvala na prěstavlenie vlačicja našeja bcja i prisno dvy Marija,Old Serbian,Church Slavonic,"Ras, Serbia",27,922
044_Prolog_i_Bogoslovie_Nebesa_ot_Isbor_na_zianieto_na.txt,Prolog i Bogoslovie (Nebesa) ot Isbor na zianieto na Joan Damaskin,Old Russian,Church Slavonic,Russia,1335,29564
045_Шестоднев.txt,Шестоднев,Old Serbian,Church Slavonic,"Ras, Serbia",1331,33007
046_šestodnev_čast_2.txt,šestodnev čast 2,Old Serbian,Church Slavonic,"Ras, Serbia",1331,33007
047_Life_of_Sergij_of_Radonezh.txt,Life of Sergij of Radonezh,Old Russian,Church Slavonic,"Sergiyev Posad, Russia",228,22692
048_Vita_Constantini.txt,Vita Constantini,Church Slavonic,Church Slavonic,"Hilandar Monastery, Mount Athos, Greece",11,885
049_Vita_Methodii.txt,Vita Methodii,Church Slavonic,Church Slavonic,"Hilandar Monastery, Mount Athos, Greece",4,329
050_Dušanova_kodifikacija_ZKJU_I_DZ_Sofijski_prepis.txt,"Dušanova kodifikacija (ZKJU I DZ), Sofijski prepis",Resavian,Church Slavonic,Sofia,373,12695
051_Slova_na_avva_Dorotej.txt,Slova na avva Dorotej,Middle Bulgarian,Church Slavonic,Sofia,609,48713
052_Slov_o_o_vi_sněch_iže_vidě_cr_šaik_iš_oče_blg_o_vi.txt,Slov(o) o vi sněch' iže vidě cr' šaik'iš' oče blg(o)vij,Resavian,Church Slavonic,,17,1669
053_Borilov_sinodik.txt,Borilov sinodik,Middle Bulgarian,Church Slavonic,,722,13342
054_Zadonščina.txt,Zadonščina,Old Russian,Church Slavonic,,28,2417
055_Oustav_stgo_velikaago_i_văselenskago_iže_vă_Nikei.txt,Oustav' stgo velikaago i văselenskago iže vă Nikei vtorago săbora,Middle Bulgarian,Church Slavonic,"Nicaea, Turkey",66,1963
056_Rešenie_na_săbora_na_patriarch_Mina.txt,Rešenie na săbora na patriarch Mina,Middle Bulgarian,Church Slavonic,,35,1548
057_Molitva_na_postavlenie_cěsarja_fragment.txt,Molitva na postavlenie cěsarja (fragment),Middle Bulgarian,Church Slavonic,,13,274
058_Tomos_unionis.txt,Tomos unionis,Middle Bulgarian,Church Slavonic,"Constantinople, Turkey",63,2309
059_Mltva_na_postavlenie_kesara_se_že_i_na_postavlenie.txt,Mltva na postavlenie kesara se že i na postavlenie chranitelě polatě,Middle Bulgarian,Church Slavonic,,19,256
060_Mlitvy_styǫ_pjatidesjatnicǫ.txt,Mlitvy styǫ pjatidesjatnicǫ,Middle Bulgarian,Church Slavonic,,45,2685
061_čin_oum_veni_v_styi_veli_četvrtok.txt,čin' oum'veni v' styi veli četvrtok,Middle Bulgarian,Church Slavonic,"Turnovo, Bulgaria",34,3095
062_Slovo_za_različnata_nepravda.txt,Slovo za različnata nepravda,Old Russian,Church Slavonic,Russia,61,907
063_Poučenie_za_spasenieto_na_dušata.txt,Poučenie za spasenieto na dušata,Old Russian,Church Slavonic,Russia,153,2714
064_Žitie_na_sv_Teodopa_Aleksanidrijska.txt,Žitie na sv. Teodopa Aleksanidrijska,Middle Bulgarian,Church Slavonic,Bulgaria,33,3819
065_Triodna_čast_na_Patriaršeski_chomiliar_II.txt,Triodna čast na Patriaršeski chomiliar II,Middle Bulgarian,Church Slavonic,"Turnovo, Bulgaria",2124,35680
066_Slovo_pochval_no_c_p_sano_klimentom_episkoupom_na.txt,Slovo pochval'no c'p'sano klimentom' episkoupom' na pamjat' blaženaego proroka Zacharija i o rod'stvě ioana kr'stiatelě,Old Russian,Church Slavonic,Russia,63,2409
067_Pamjat_svjataego_Aleksiě_člověka_bžiě.txt,Pamjat' svjataego Aleksiě člověka bžiě,Middle Bulgarian,Church Slavonic,Bulgaria,17,1020
068_Pachvala_prědv_naego_žitiě_Ilija_proroka.txt,Pachvala prědv'naego žitiě Ilija proroka,Old Serbian,Church Slavonic,"Ras, Serbia",32,1231
069_Pochvala_stouemou_Klimenătou_patriarchou_Rim_skou.txt,Pochvala stouemou Klimenătou patriarchou Rim'skou,Old Russian,Church Slavonic,Moscow,26,1483
070_Slovo_pochval_no_archanglou_Michailou_i_Gavriilou.txt,Slovo pochval'no archanglou Michailou i Gavriilou,Middle Bulgarian,Church Slavonic,Bulgaria,54,1719
071_Pochvala_sbjatouemou_kurilou_Oučitelju_clověn_skou.txt,Pochvala sbjatouemou kurilou Oučitelju clověn'skou jazykou,Middle Bulgarian,Church Slavonic,Bulgaria,17,906
072_Pooučenie_na_pamjat_stouju_vr_chov_njuju_apostolou.txt,Pooučenie na pamjat' stouju vr'chov'njuju apostolou Petra i Pav'la,Old Russian,Church Slavonic,Russia,11,401
073_Slovo_na_cvětonos_nǫjǫ_nedělǫ.txt,Slovo na cvětonos'nǫjǫ nedělǫ,Middle Bulgarian,Church Slavonic,Bulgaria,56,1804
074_Stgo_otca_metodiě_stchry_glas.txt,Stgo otca metodiě stchry glas,Old Serbian,Church Slavonic,"Ras, Serbia",192,1261
075_Slovo_pochval_no_Noanou_Kr_stitelju.txt,Slovo pochval'no Noanou Kr'stitelju,Old Serbian,Church Slavonic,"Ras, Serbia",46,2201
076_Žitie_i_žizn_prdpbiyǫ_matere_našę_paraskevi.txt,Žitie i žizn' prdpbiyǫ matere našę paraskevi,Middle Bulgarian,Church Slavonic,Bulgaria,244,4587
077_Dioptra_na_Filip_Monotrop.txt,Dioptra na Filip Monotrop,Old Russian,Church Slavonic,Russia,3457,76643
078_Germanov_sbornik_Čast_1_slovo_1-15.txt,Germanov sbornik Čast' 1 (slovo 1-15),Middle Bulgarian,Church Slavonic,Bulgaria,2842,20059
079_Germanov_sbornik_Čast_2_slovo_16-28.txt,Germanov sbornik Čast' 2 (slovo 16-28),Middle Bulgarian,Church Slavonic,Bulgaria,2851,20882
080_Germanov_sbornik_Čast_3_slovo_29-44.txt,Germanov sbornik Čast' 3 (slovo 29-44),Middle Bulgarian,Church Slavonic,Bulgaria,3319,24306
081_Pověsti_o_isvěstovannyich_veščei_eže_o_kralechă_pr.txt,Pověsti o isvěstovannyich veščei eže o kralechă pričę,Middle Bulgarian,Church Slavonic,Bulgaria,382,8502
082_Prěmǫdrago_manasia_i_l_topisca_c_branie_l_tno_1.txt,Prěmǫdrago manasia i l'topisca c'branie l'tno 1,Middle Bulgarian,Church Slavonic,Bulgaria,599,8261
083_Prěmǫdrago_manasia_i_l_topisca_c_branie_l_tno_2-3.txt,Prěmǫdrago manasia i l'topisca c'branie l'tno 2-3,Middle Bulgarian,Church Slavonic,Bulgaria,1172,17616
084_Prěmǫdrago_manasia_i_l_topisca_c_branie_l_tno_4-5.txt,Prěmǫdrago manasia i l'topisca c'branie l'tno 4-5,Middle Bulgarian,Church Slavonic,Bulgaria,1044,17441
085_Prěmǫdrago_manasia_i_l_topisca_c_branie_l_tno_6-7.txt,Prěmǫdrago manasia i l'topisca c'branie l'tno 6-7,Middle Bulgarian,Church Slavonic,Bulgaria,950,17517
086_Berlinski_sbornik.txt,Berlinski sbornik,Middle Bulgarian,Church Slavonic,Bulgaria,6519,49600
087_Molitva_za_podpečatvane_neznamenovane_na_mladenec.txt,Molitva za podpečatvane/neznamenovane na mladenec na osmija den sled raždaneto i priemane na ime. Archaična versija,Old Russian,Church Slavonic,Russia,61,700
088_Bož_stvnaa_služba_iže_v_svętych_Vasilia_Velikago.txt,Bož'stvnaa služba iže v svętych' Vasilia Velikago,Middle Bulgarian,Church Slavonic,Bulgaria,153,4000
089_Bož_stvnaa_služba_svętych_liturgia_diakonskaa_kuri.txt,"Bož'stvnaa služba svętych' liturgia diakonskaa kuri Evevmia, patriarcha Tr'novskago",Middle Bulgarian,Church Slavonic,Bulgaria,429,5983
090_Kur_Eveimia_patriarcha_molitva_na_kotoryǫęžde_liti.txt,Kur' Eveimia patriarcha molitva na kotoryǫęžde litię o cari,Middle Bulgarian,Church Slavonic,Bulgaria,4,205
091_Pochvalnoe_cvętomou_Muchaulou_voinou_săpisanoe_Eve.txt,"Pochvalnoe cvętomou Muchaulou voinou, săpisanoe Eveimiem', pariarchom Trănovskym",Middle Bulgarian,Church Slavonic,Bulgaria,131,2789
092_Molitvi_protiv_epidemii_-1_2_3_Iny_molitvy_pročita.txt,"Molitvi protiv epidemii -1,2,3. Iny molitvy, pročitaemyǫ vănegda bǫdet sămrătonosie",Middle Bulgarian,Church Slavonic,Bulgaria,39,1219
093_Stgo_Isaie_pr_o_rka_o_buduši_ch_lětě_ch_i_o_crěm_s.txt,Stgo Isaie pr(o)rka o buduši(ch) lětě(ch) i o crěm' skazanie i o antichr(s)ta iže chošč(t) byti,Resavian,Church Slavonic,,22,2338
094_The_list_of_the_Novgorodians_losses.txt,The list of the Novgorodians’ losses,Old Russian,Church Slavonic,,2,185
095_S_bgom_počinaem_razoumnik_sie_je_s_oučite_l_v_sem.txt,S' bgom' počinaem' razoumnik' sie je(s) oučite(l) v'sem' clovom' ga ba i spa(s)a našego Iv(s) Cha (I red.),Resavian,Church Slavonic,,8,878
096_Slovo_ga_naše_g_Isu_Cha_o_ne_m_kog_d_a_čto_sătvori.txt,Slovo ga naše(g) Isu Cha o ne(m) kog(d)a čto sătvoril' e(s) (I red. fragment),Middle Bulgarian,Church Slavonic,,3,349
097_Chrismi_na_Lăv_Mădri.txt,Chrismi na Lăv Mădri,Middle Bulgarian,Church Slavonic,,30,2764
098_Slovo_o_antichristě_o_č_blvi.txt,Slovo o antichristě o(č) blvi,Old Serbian,Church Slavonic,,13,1318
099_Dialozi.txt,Dialozi,Old Russian,Church Slavonic,,7932,57472
100_Pochvalno_slovo_za_Vrăbnica.txt,Pochvalno slovo za Vrăbnica,Old Russian,Church Slavonic,Russia,253,3108
101_Slovo_o_stěi_troici_tvari_i_o_sǫdě.txt,Slovo o stěi troici tvari i o sǫdě,Old Russian,Church Slavonic,Russia,85,3602
102_Slovo_o_stěi_troici_i_o_tvari_i_o_sǫdě.txt,Slovo o stěi troici i o tvari i o sǫdě,Old Russian,Church Slavonic,Russia,86,3602
103_Pooučenie_o_prěč_st_nyich_tainachă.txt,Pooučenie o prěč'st'nyich tainachă,Old Russian,Church Slavonic,Russia,40,983
104_Prěppdobnomu_i_bgonosnomu_otcu_ioannu_pustynožitel.txt,Prěppdobnomu i bgonosnomu otcu ioannu pustynožitelju pylskomu kanon'i pěvaemu vă sǫbotǫ,Middle Bulgarian,Church Slavonic,Bulgaria,1843,11979
105_žitie_i_žizn_prpodbnaago_otca_našego_ilariona_epsk.txt,žitie i žizn' prpodbnaago otca našego ilariona epskpa moglenskago,Middle Bulgarian,Church Slavonic,Bulgaria,457,8255
106_pochvalnoe_stym_velimym_iravnoapsto_nym_crem_Konst.txt,pochvalnoe stym' velimym' iravnoapsto'nym' crem' Konstantinou i Eleně,Middle Bulgarian,Church Slavonic,Bulgaria,441,11819
107_Pochvalnoe_stoi_velikomici_nedli.txt,Pochvalnoe stoi velikomici nedli,Middle Bulgarian,Church Slavonic,Bulgaria,330,6474
108_Druga_molitva_za_rodilka.txt,Druga molitva za rodilka,Old Russian,Church Slavonic,Russia,54,516
109_Torožde_Eveimia_patriarcha_Trănov_skago_kă_sveščen.txt,"Torožde Eveimia patriarcha Trănov'skago, kă sveščenněišomu mitropolitu Ougrovlachiiskomou, kură An'eimou",Resavian,Church Slavonic,Serbia,119,2702
110_Žitie_i_žizn_prěpodonyǫ_matere_našǫ_Filofei.txt,Žitie i žizn' prěpodonyǫ matere našǫ Filofei,Middle Bulgarian,Church Slavonic,Bulgaria,260,5700
111_Eveimia_patriarcha_Trănov_skago_kă_Nikodimou_svešč.txt,"Eveimia patriarcha Trănov'skago, kă Nikodimou, sveščennoinokou iže vă Tismeně",Resavian,Church Slavonic,Serbia,215,4402
112_Bož_stvnaa_slouž_ba_prěždesvęnnaa.txt,Bož(')stvnaa slouž'ba prěždesvęnnaa,Middle Bulgarian,Church Slavonic,Bulgaria,158,2998
113_Torožde_Eveimia_patriarcha_Trănov_skago_poslanie_k.txt,"Torožde Eveimia, patriarcha Trănov'skago, poslanie kă Kvprianou mnichou",Resavian,Church Slavonic,Serbia,177,3211
114_Bož_st_vnaa_služba_iže_vă_svętychă_otca_naševo_Iva.txt,"Bož'st'vnaa služba iže vă svętychă otca naševo Ivanna Zlatoustago, archieposkopa Kostantině grada",Middle Bulgarian,Church Slavonic,Bulgaria,183,3807
115_Torožde_molitvy_vă_načalo_indikty_byvšu_i_togda_că.txt,"Torožde molitvy vă načalo indikty, byvšu i togda cămrătokosiu",Middle Bulgarian,Church Slavonic,Bulgaria,40,1066
116_Blagodarim_tę_gospodi_bože_našă_o_văsěch_ichže_ot.txt,"Blagodarim tę, gospodi, bože našă, o văsěch, ichže ot věka",Middle Bulgarian,Church Slavonic,Bulgaria,6,317
117_Togožde_molitva_za_bezdăždia.txt,Togožde molitva za bezdăždia,Middle Bulgarian,Church Slavonic,Bulgaria,9,252
118_Pochvalno_slovo_za_Ioan_episcop_Polivotski.txt,"Pochvalno slovo za Ioan, episcop Polivotski",Middle Bulgarian,Church Slavonic,Bulgaria,227,6012
119_Afanasij_Nikitin_s_journey_beyond_three_seas.txt,Afanasij Nikitin’s journey beyond three seas,Old Russian,Church Slavonic,,69,7176
120_The_tale_of_Dracula.txt,The tale of Dracula,Old Russian,Church Slavonic,,26,2468
121_The_tale_of_Luka_Kolocskij.txt,The tale of Luka Kolocskij,Old Russian,Church Slavonic,,11,899
122_Missive_from_Prince_Ivan_of_Pskov_1463_1465.txt,"Missive from Prince Ivan of Pskov, 1463–1465",Old Russian,Church Slavonic,,4,353
123_Služba_na_carica_Teofana.txt,Služba na carica Teofana,Resavian,Church Slavonic,Serbia,150,4510
124_Domostroj.txt,Domostroj,Old Russian,Church Slavonic,,247,24148
125_Slovo_o_Sivilě_I_red.txt,Slovo o Sivilě (I red.),New Bulgarian,Church Slavonic,,12,1265
126_Oukaz_za_ga_našego_IsCha_II_red.txt,Oukaz' za ga našego IsCha (II red.),New Bulgarian,Church Slavonic,,8,1056
127_Slavjanska_versija_na_chronikata_na_Georgi_Sinkel.txt,Slavjanska versija na chronikata na Georgi Sinkel,Old Russian,Church Slavonic,"Constantinople, Turkey",6358,65024
128_The_taking_of_Pskov.txt,The taking of Pskov,Old Russian,Church Slavonic,,27,2287
129_V_pros_Epifanija_narečen_naa_v_mniš_cěm_činou_Euti.txt,V'pros' Epifanija narečen'naa v' mniš'cěm' činou Eutichii i byvšemu patriarchou Konstantdina grada k' osveščen'nomou An'dreju za Christa Ourodivaago i vsako bouistvo ověščavša o Kon'stan'dině gradě,Resavian,Church Slavonic,,42,3441
130_Service_for_St_Ivan_of_Rila.txt,Service for St. Ivan of Rila,Resavian,Church Slavonic,"Rila Monastery, Bulgaria",1770,14258
131_Slovo_za_posta_i_za_molitvata.txt,Slovo za posta i za molitvata,Old Russian,Church Slavonic,Russia,267,2751
132_Slovo_za_tozi_vremenen_život.txt,Slovo za tozi vremenen život,Old Russian,Church Slavonic,Russia,50,799
133_Pochvala_styichă_m_mǫčenikă.txt,Pochvala styichă m mǫčenikă,Old Serbian,Church Slavonic,"Ras, Serbia",25,1248
134_Molitva_za_rodilka_sled_raždaneto.txt,Molitva za rodilka sled raždaneto,Middle Bulgarian,Church Slavonic,Bulgaria,37,378
135_The_tale_of_the_fall_of_Constantinople.txt,The tale of the fall of Constantinople,Old Russian,Church Slavonic,,105,10385
136_Molitva_za_văcărkovlenie_na_novorodeno_na_40-ja_de.txt,Molitva za văcărkovlenie na novorodeno na 40-ja den,Middle Bulgarian,Church Slavonic,Bulgaria,58,652
137_Oukaz_Kako_S_vr_ši_G_naš_Iv_c_Chs.txt,Oukaz' Kako S'vr'ši G' naš' Iv(c) Chs,Resavian,Church Slavonic,Serbia,10,1227
138_Pově_s_prědivna_ispl_njen_strastei_i_tretěnia_i_ta.txt,Pově(s) prědivna ispl'njen' strastei i tretěnia i tain'stvo velie R(ž) okri b' ugodn'ikoo(m) svoi(m) O mimoš'(d)ši(ch) i grědoušč(ch) iže v' st'i(ch) oca našego mefodia epp(c)kupa papar'skagoo skazanie istin'noe o cri(ch) i poslědnich' lěte(ch),Resavian,Church Slavonic,Serbia,4,413
139_Văprosă_Nikodimov.txt,Văprosă Nikodimov,Old Church Slavonic,Church Slavonic,Bulgaria,41,867
140_Trojanski_Damaskin.txt,Trojanski Damaskin,New Bulgarian,Church Slavonic,"Damascus, Syria",8568,107042
141_Materials_for_the_history_of_the_schism.txt,Materials for the history of the schism,Old Russian,Church Slavonic,,22,1814
142_Vesti-Kuranty.txt,Vesti-Kuranty,Old Russian,Church Slavonic,,14,1131
143_Ckazanie_Isaie_pr_o_ka_kako_v_zne_c_n_b_i_c_agglo.txt,Ckazanie Isaie pr(o)ka kako v'zne(c)n' b'i(c) agglo(m) do zgo nb(c)'i,Resavian,Church Slavonic,,21,2458
144_Mc_okovmpii_imat_dni_la_dn_imat_sča_ai_a_nošč_gi_v.txt,"Mc' okovmpii imat dni la dn' imat sča ai a' nošč', gi vă fi den' pamet prěpodobnago otca našego ioanna poust'inižitelja ryl'skago",Resavian,Church Slavonic,"Rila Monastery, Bulgaria",1594,11264
145_Čjudesa_stgo_Nikolia.txt,Čjudesa stgo Nikolia,Resavian,Church Slavonic,"Resava, Serbia",793,9649
146_Slovo_Kako_zače_se_samovila.txt,Slovo Kako zače se samovila,Resavian,Church Slavonic,"Resava, Serbia",4,334
147_Skazanie_iz_javljenno_o_pi_smene.txt,Skazanie iz'javljenno o'pi'smene,Resavian,Church Slavonic,Serbia,2542,46899
148_Tikveški_sbornik.txt,Tikveški sbornik,Resavian,Church Slavonic,Serbia,4330,37327
149_Uka_z_za_ga_nšego_is_cha_kako_by_s_msca_martia.txt,Uka(z) za ga nšego is'cha kako by(s) msca martia,Resavian,Church Slavonic,Serbia,10,1064
150_Skazanie_kako_č_s_ti_ezy_k.txt,Skazanie kako č'(s)ti ezy(k),Resavian,Church Slavonic,Serbia,5,407
151_Loveški_damaskin.txt,Loveški damaskin,New Bulgarian,Church Slavonic,Bulgaria,3300,62543
152_Oustav_bož_stvennyę_služby_svętago_apostola_Iakova.txt,"Oustav' bož(')stvennyę služby svętago apostola Iakova, brata gospodnę",Old Russian,Church Slavonic,Russia,328,6787
153_Testament_of_Ivan_Jurievich_Grjaznoj.txt,Testament of Ivan Jurievich Grjaznoj,Old Russian,Church Slavonic,,5,466
154_Mitarstva_na_dušata_na_Blažena_Teodora.txt,Mitarstva na dušata /na Blažena Teodora,Church Slavonic,New Church Slavonic,,87,4557
155_Correspondence_of_Peter_the_Great.txt,Correspondence of Peter the Great,Old Russian,New Church Slavonic,,2,94
156_Istorija_Slavjanob_lgarska.txt,Istorija Slavjanob'lgarska,New Bulgarian,New Church Slavonic,Bulgaria,6721,70291
157_Kiev_Missal.txt,Kiev Missal,Old Church Slavonic,Old Church Slavonic,,5,413
158_Razumnik-ukaz_II_red_fragment.txt,Razumnik-ukaz (II red. fragment),New Bulgarian,Church Slavonic,,2,151
159_Žitie_na_sv_Teodora_Aleksandrijska.txt,Žitie na sv. Teodora Aleksandrijska,Middle Bulgarian,Church Slavonic,Bulgaria,33,3819
160_Beležki_na_b_lgarskite_knižovnici_X-XVIII_veka.txt,Beležki na b'lgarskite knižovnici X-XVIII veka,Middle Bulgarian,Church Slavonic,,2177,31231
161_Trebnik_Grigorovič_32.txt,Trebnik Grigorovič 32,Middle Bulgarian,Church Slavonic,,343,3849
162_Kanonă_Glasă_i_pěsn_a.txt,Kanonă Glasă i pěsn' a,Middle Bulgarian,Church Slavonic,,14,791
163_Pooučenie_na_blagověščenie_stěi_bci.txt,Pooučenie na blagověščenie stěi bci,Old Church Slavonic,Church Slavonic,,39,964
164_Pooučenie_na_blagověščenie_stěi_bci.txt,Pooučenie na blagověščenie stěi bci,Old Russian,Church Slavonic,Russia,38,938
165_Služba_za_părvomăčenik_Stefan_i_za_Stefan_i_papa_R.txt,Služba za părvomăčenik Stefan i za Stefan i papa Rimski,Middle Bulgarian,Old Church Slavonic,Bulgaria,21,1138
166_Slovo_stgo_Polouta_Rim_skago_o_tl_kovanii_danilově.txt,Slovo stgo Polouta Rim'skago o tl'kovanii danilově,Old Serbian,Church Slavonic,Serbia,4,307
167_Žitie_skazano_o_prěmudtosti_akirievě_kako_oučaše_s.txt,Žitie skazano o prěmudtosti akirievě kako oučaše sestričikja svoe anadana,Resavian,Church Slavonic,Serbia,16,1767
168_Slovo_o_adamě_i_o_evvě_o_sačela_do_s_vr_šenie_ouka.txt,Slovo o adamě i o evvě o sačela do s'vr'šenie oukaz' oče bl(c)vi,Resavian,Church Slavonic,Serbia,27,2969
169_Slovo_o_pradednago_avraama_o_č_bl_c_vi.txt,Slovo o pradednago avraama o(č) bl(c)vi,Resavian,Church Slavonic,Serbia,8,887
170_molitva_za_babuvala_akuširala_žena.txt,molitva za babuvala (akuširala) žena,Middle Bulgarian,Church Slavonic,Bulgaria,26,173
171_molitva_za_babuvala_akuširala_žena.txt,molitva za babuvala (akuširala) žena,Middle Bulgarian,Church Slavonic,Bulgaria,26,173
172_Slovo_o_stei_troici_kako_go_s_ti_avram.txt,Slovo o stei troici kako go(s)ti avram',Resavian,Church Slavonic,Serbia,6,581
173_o_velikie_petki_prěz_godi.txt,(o) velikie petki prěz' godi,Resavian,Church Slavonic,Serbia,5,642
