id,url,city_slug,title,city,date,content,original_text_raw,original_text_spaced,translation_ru,translation_en_1,translation_en_2,unique_id
1,https://gramoty.ru/birchbark/document/show/mstislavl/1/,mstislavl,Грамота № Мст. 1,Мстиславль,1200‒1220 (с вероятным смещением вперёд),Фрагмент делового содержания,…[н]ицеполупатꙑгривн [и]ни-осм[ьнад]... (…),…[н]ице полу патꙑ гривн [и]ни- осм[ь на д]... (…),,... Semen bought 4½ grivnas of wheat ...,,mstislavl_1
1,https://gramoty.ru/birchbark/document/show/vologda/1/,vologda,Грамота № Вол. 1,Вологда,1320‒1340 (с вероятным смещением вперёд),От Якова к брату Остафу (об отправленном рубле),г·ѧ·ковоктобѣктобѣсѧ:·ꙩнаникотьсть брать·ꙩ·стафе:посла·лъстобоюѥмь рубле:·косамълу·рубле:нимнѣру бл:ѧ:нимнѣпроторъвъ,г·ѧ·ково к тобѣ к тобѣ сѧ : ·ꙩнанико тьсть брать ·ꙩ·стафе : посла·лъ с тобою ѥмь рубле : · ко самълу · рубле : ни мнѣ рубл:ѧ: ни мнѣ проторъвъ,"‛Яков [обращается] к тебе, к тебе [обращается и] тесть Онаник. Брат Остаф! Я послал с тобой рубль — к Самойлу рубль. И нет у меня ни рубля, ни проторов.’",,,vologda_1
1,https://gramoty.ru/birchbark/document/show/pereyaslavl-ryazansky/1/,pereyaslavl-ryazansky,Грамота № Переясл. Ряз. 1,Переяславль Рязанский,1450‒1500,Фрагмент эсхатологического пророчества из Пасхалии,… ---[р](а)[з]ум[ну·обра](т) врѣмбѣгаӏбежи невѣриѧбышапри …,… ---[р](а)[з]ум[ну · о бра](т) врѣм бѣгаӏ бежи невѣриѧ быша при …,,,,pereyaslavl-ryazansky_1
2,https://gramoty.ru/birchbark/document/show/novgorod/2/,novgorod,Грамота №2,Новгород,1360‒1380,Роспись пушного оброка,мѣкꙋѥвьбѣларосомꙋхаꙋфомѣ·г҃· кꙋнициꙋмики·в҃·кꙋнициꙋфомѣсохꙋ даль·дарꙋкꙋницювѣльѧказа·д҃·кꙋн ицаи·гꙋгморонаволокикꙋница·ꙋмѧтещи ·в҃·кꙋнициꙋвѣльютовꙑхо·в҃·кꙋнициꙋвозем ꙋта·в҃·кꙋници·ꙋфилипа·в҃·кꙋнициꙋнамѣст а·в҃·бѣли·ꙋжидиликꙋница·воликомоѻс тровѣкꙋница ꙋвихтимаса·в҃·бѣлоки·ꙋгостили·в҃·кꙋници·ꙋв ѣльюта·г҃·кꙋнициꙋлопинкова:ѕ҃:бѣло,мѣкꙋѥвь бѣла росомꙋха ꙋ фомѣ ·г҃· кꙋници ꙋ мики ·в҃· кꙋници ꙋ фомѣ сохꙋ‐ даль · дарꙋ кꙋницю вѣльѧказа ·д҃· кꙋниц{а}и · гꙋгморо наволоки кꙋница · ꙋ мѧтещи ·в҃· кꙋници ꙋ вѣльютовꙑхо ·в҃· кꙋници ꙋ возем‐ ꙋта ·в҃· кꙋници · ꙋ филипа ·в҃· кꙋници ꙋ намѣста ·в҃· бѣли · ꙋ жидили кꙋница · воликомо ѻс‐ тровѣ кꙋница ꙋ вихтимаса ·в҃· бѣлоки · ꙋ гостили ·в҃· кꙋници · ꙋ вѣльюта ·г҃· кꙋници ꙋ лопинкова :ѕ҃: бѣло,‛В Микуеве белая росомаха. У Фомы 3 куницы. У Мики 2 куницы. У Фомы в Сохудале (?) куница дара. [У] Вельяказа 4 куницы. На Гугмор-наволоке куница. У Мятешки 2 куницы. У Вельютовых 2 куницы. У Воземута 2 куницы. У Филиппа 2 куницы. У Наместа 2 белки. У Жидилы куница. На Великом Острове куница. У Вихтимаса 2 белки. У Гостилы 2 куницы. У Вельюта 3 куницы. У Лопинкова 6 белок’.,,,novgorod_2
2,https://gramoty.ru/birchbark/document/show/staraya-russa/2/,staraya-russa,Грамота № Ст. Р. 2,Старая Русса,1410‒1420,От Кузьмы к его сыну Исаку и к другим (о ценах на соль),приказъѿкузмиксинуксвоѥмукиса ку[кооул]иѧнуиктимофиюсолинекупи ---------------аинекупѧстрицѧ ------------[то]иумостуапросѧ здѣсолипосемилубовъзарубль анашихотѧдаватьана дн҃ьнилубанепродатьсциапросоле здѣпопѧтигривонъбочка,приказъ ѿ кузми к сину к своѥму к иса‐ ку [ко оул]иѧну и к тимофию соли не купи‐ ---------------аи не купѧ с трицѧ ------------[то]и у мосту а просѧ здѣ соли по семи лубовъ за рубль а наши хотѧ давать а на дн҃ь ни луба не продатьсци а просоле здѣ по пѧти гривонъ бочка,"‛Наказ от Кузьмы сыну своему Исаку, Ульяну и Тимофею. Соли не покупай(те) … А просят здесь соли по семи лубов (лубяных коробов) за рубль. А наши хотят отдавать (по такой цене). А на день ни луба не продать ({затем автор решил заменить ‛не продать’ на} ‛не продастся’). А просол (малосольная рыба) здесь по пяти гривен бочка’.",,,staraya-russa_2
2,https://gramoty.ru/birchbark/document/show/torzhok/2/,torzhok,Грамота № Торж. 2,Торжок,1180‒1200,Фрагмент письма от Мануилы к Сбыне,+ѿманоуилѣ·късъбꙑнепокланѧние·продалѣесьмъ·паволокоу …(гр)[и]в[ь]нъ·-о-ъ…,+ ѿ маноуилѣ · къ събꙑне покланѧние · продалѣ есьмъ · паволокоу … (гр)[и]в[ь]нъ · -о-ъ …,‛Поклон от Мануйлы Сбыне. Я продал (или: мы продали) шелк ....; {далее упоминались} гривны.,,,torzhok_2
2,https://gramoty.ru/birchbark/document/show/pskov/2/,pskov,Грамота № Пск. 2,Псков,1180‒1200,Фрагмент письма Степана (о делах купцов),ѿстепанакож… чтолюдѣим-… [д]аешѥѿло… …[оучкли]…,ѿ степана ко ж… что людѣи м-… [д]аешѥ ѿло… … [оучкли] …,"‛От Степана к Ж… (Жирославу и т. п.) Сколько людей мор унес, ты знаешь; отмени (или: отменили)… учли (вычли)…’",,,pskov_2
2,https://gramoty.ru/birchbark/document/show/tver/2/,tver,Грамота № Твер. 2,Тверь,1300‒1320 (с вероятным смещением назад),От Григория к матери (просьба срочно приехать в Торжок),поклоноѿгригориикоматьри·будикъмнѣнаборозѣ·вотърже косопрѧтавовошисвоистатокопоѣдивторжько·ажезаста нешеменетиѧтьбевезуилимененезастанешьвоторжеку титꙑтуменежедиаѧзопотебебудусамо·ацтодашепро возаѧзовотомодоторжеку·увѣдаивѣдаипущаюлиро женовогороцамобезопакостититꙑпришли·на борзѣтиѧсамо·ѣ·ду,поклоно ѿ григории ко матьри · буди къ мнѣ на борозѣ · во търже‐ ко сопрѧта{во}воши свои статоко поѣди в торжько · аже заста‐ неше мене ти ѧ тьбе везу или мене не застанешь во торжеку ти тꙑ ту мене жеди а ѧзо по тебе буду само · а цто даше про‐ воза ѧзо во томо до торжеку · увѣдаи{вѣдаи} пущаю ли ро‐ же новогороцамо безо пакости ти тꙑ пришли · на борзѣ ти ѧ само ·ѣ·ду,"‛Поклон от Григория матери. Прибудь ко мне срочно в Торжок — приведя в порядок свое имущество, поезжай в Торжок. Если застанешь меня, то я тебя повезу; если же меня в Торжке не застанешь, то ты тут меня жди, а я за тобой прибуду сам. А что заплатишь за провоз до Торжка, это за мной. Узнай, пропускают ли рожь для новгородцев беспрепятственно, [если да], то немедленно пришли [весть], и я сам поеду’.","Greetings from Grigorii to mother. Come quickly here to Torzhok – having made all of the arrangement regarding your possessions, come to Torzhok. If you find me, then I will bring you; if you do not find me in Torzhok, then you wait for me here and I will come to get you myself. And what you will pay for transport to Torzhok, that I will cover. Find out whether rye is being shipped to the Novgorodians without any hindrances; [if yes], then immediately send me [word] and I will come myself.",,tver_2
2,https://gramoty.ru/birchbark/document/show/moscow/2/,moscow,Грамота № Мос. 2,Москва,1450‒1500,"Фрагмент, возможно, хозяйственного списка",верхняя часть листа -к[ат]и нижняя часть листа …асех… …[м]ен[ꙑ][к]…,верхняя часть листа -к[ат]и нижняя часть листа … а се х… …[м]ен[ꙑ] [к]…,{возможная реконструкция} 'А вот крестьяне… Клейменые кони…',,,moscow_2
2,https://gramoty.ru/birchbark/document/show/zvenigorod/2/,zvenigorod,Грамота № Звен. 2,Звенигород Галицкий,1120‒1140,"От Говеновой вдовы к Неженцу (требование выплатить то, что Неженец был должен покойному Говену, и угроза)",+ѿговѣновое:конѣжьньцюдае:ꙅ҃:десѧ коунолодиеноуюповѣдалоговѣноиданасоу до:апопъѱл҃ъ:адаелоуцѣолиньводаситоѧꙋ конѧзѧпоемаотрокоприжьприедю авоболетивонидь:,+ ѿ говѣновое : ко нѣжьньцю дае : ꙅ҃: десѧ коуно лодиеноую повѣдало говѣно ида на соу‐ до : а попъ ѱл҃ъ : а дае лоуцѣ оли нь водаси то ѧ ꙋ конѧзѧ поема отроко прижь приедю а во боле ти вонидь :,"‛От Говеновой [вдовы] к Неженцу. Дай шестьдесят кун ладейных (т. е. за ладью или на ладью). [Так] сказал Говен перед смертью ({букв.:} идя на суд), а поп записывал. Дай [их] Луке. Если же не дашь, то я возьму у князя отрока и вместе [с ним] приеду — это тебе станет в бо́льшую сумму’.","From Goven’s [widow] to Nezhnych. Give 60 kunas for the boat (transport?). [Thus], said Goven before he died and the priest wrote it down. Give [them] to Luka. If you do not give [them], then I will get a court official (otrok) from the prince and come [myself to get them] – you will have more to loose [if you do not give them].","+ From Goven’s (widow) to Neženec. Give 60 boat-kunas (i.e., 60 kunas for the boat). Goven said (this), going to Judgment, and the priest wrote (it) down. And give (it) to Luka. If you don’t give (it), then I will come, taking an official (constable) from the prince with me; and it will go into more (expense) for you",zvenigorod_2
3,https://gramoty.ru/birchbark/document/show/novgorod/3/,novgorod,Грамота №3,Новгород,1360‒1380,От Григши к Есифу (о варке пива),поклонъѿгрикшикъѥсифуприславъꙩнаньꙗмол[ви]… ꙗзъѥмуѿвѣчалънереклъмиесифъваритипереварꙑнинакогоӏѡнъпри слалъкъфедосьӏваритꙑпивъсѣ[д]ишьнабезать[щ]инѣн[е]в[аришь]ж[ита] (…),поклонъ ѿ грикши къ ѥсифу приславъ ꙩнаньꙗ мол[ви]… ꙗзъ ѥму ѿвѣчалъ не реклъ ми есифъ варити переварꙑ ни на кого ӏ ѡнъ при‐ слалъ къ федосьӏ вари тꙑ пивъ сѣ[д]ишь на безать[щ]инѣ н[е] в[аришь] ж[ита] (…),‛Поклон от Григши Есифу. Онанья прислал [человека или грамоту] со словами … Я ему ответил: «Не велел мне Есиф варить перевару ни для кого». Тогда он прислал к Федосье: «Вари ты пиво. Сидишь на выморочном участке [и] не варишь ячмень»’.,,,novgorod_3
3,https://gramoty.ru/birchbark/document/show/staraya-russa/3/,staraya-russa,Грамота № Ст. Р. 3,Старая Русса,1340‒1360,Фрагмент неопределенного содержания,...-орс… …[в]озоуго… ...укиу...,...-орс… …[в]озоу го… ...уки у...,,,,staraya-russa_3
3,https://gramoty.ru/birchbark/document/show/torzhok/3/,torzhok,Грамота № Торж. 3,Торжок,1180‒1200,«У Хотуна сорочок»,ухотꙋ[н]асроцеке,у хотꙋ[н]а сроцеке,‛У Хотуна сорочок’.,,,torzhok_3
3,https://gramoty.ru/birchbark/document/show/pskov/3/,pskov,Грамота № Пск. 3,Псков,1260‒1280,Фрагмент письма Герасима к Кирилу (или Кирику),ѿгерасимакъкюр[и-оу]……св……ѥстьнамое……нн……а-твор… …поуст-……-намопопосо…,ѿ герасима къ кюр[и-оу] … …св… …ѥстьнамое… …нн… …а-твор… …поуст-… …-намопопосо…,,,,pskov_3
3,https://gramoty.ru/birchbark/document/show/tver/3/,tver,Грамота № Твер. 3,Тверь,1300‒1320 (с вероятным смещением назад),Фрагмент делового содержания,…содавꙑдомо·г·тꙑсѧце…,… со давꙑдомо ·г· тꙑсѧце …,‛…с Давыдом три тысячи…’,,,tver_3
3,https://gramoty.ru/birchbark/document/show/moscow/3/,moscow,Грамота № Мос. 3,Москва,1400‒1410 (с вероятным смещением назад),Перечень имущества Турабея — владельца двора на Подоле Московского Кремля и земель под Суздалем,асеконитурабиѥвыаотѥздовны хъжеребець·в҃·конѧсаврасылошачька ·в҃·сивъкоуролошачекгнѣдда--------лошачек кооуръдадругоис(и)въост(а)влентурабьѥвѣ женѣа(с)традныхлошадѣидвоѥатро ѥжеребѧтълоньскихдакобылстрадных же·ѕ҃·дак(о)былкалоньскаѧавсѣхѣздо вныхдевѧтер(о)астрадныхдвоѥнатцатеро двѣкоровын(а)дворѣ·в҃·волаа·ѕ҃·коровѥго жестрадникѣдѧтъмолок·г҃·бороввсадуи оутича·еӏ҃·анапогребѣкотелпивнои желѣзендагорнецьжелѣзенжедавѣде рцемѣдѧнода котел мѣдѧнъ вѣдра въ два дасканецьжестѧнъастоговъ·вӏ҃· истогъвѣлѣножетурабьѥвѣчеледслюдмиѣстиалюди турабьѥвыхмолодыхѻникѣикомолчанигнатко мос(ѣи)баирамъахмедѻнташьжалорьѥскаастрадни ковъ·еӏ҃·созонкомосѣилухов(ъ)ѻртемикивака черменродивонкоиванецьѧковъкодачеты репаропкид(а)ключникаоутѣхѥголюдеичетве ронатцатероконьаприсохтурабьѥвыхако ровъ·ѳ҃·Авдѣлѣналюдехсеребраоугригорь ѥцаполтиноуѻстафьѥцаполтиноубѣлкаполтин оусеменцаполтиноусидораполтиноумосѣи цаполтиноуосѣицаполтиноукурьѧнаполтин авсегосеребраналюдехътурабьѥвавдѣлѣ ·д҃·рубаконюхсказываѥ(т)ъсуждальски ѥлошадкобылбурадаворонадапѣгада рыжатѣчетырестрадныѥтрижеихъ жеребѧтъажереб(ч)икилоньскиѥ (в)орондарыжь(д)ачалдасивъдагнѣдбѣлоногъ (д)акобылкилоньскиѥ(са)врасабѣлонога (г)нѣдабѣлоногаж(е)дагнѣдадаголубадаму (х)ортакобылкаастрад(ны)ѥкарѧсжеребѧ (т)емъдавор(он)ыхъкобылдвѣдасивадаворо нажекобыладажеребчикъгнѣдъбѣло ногъдастаракобылабу(р)адажеребчикъ четв(е)ртакворонавсѣхъл(о)шачковикобыл (и)жеребѧтъѻтдал(ѥс)м(ьк)ощѣюпосель скогочеловѣкдватцат(е)роишестероа седалпередъѥлбугоюп(е)редыгумном передфедоромылиин(ь)скимпер(е)д(кл)имомпередпе тромпередгу(р)ьѥвым Приписка (с поворотом на 180 градусов): аѧзъвзѧллошачка·в҃·сивыд(ары)жь дагнѣддаворондажеребчикло(ньс)кои рыжьзвѣздк(а)вчел---------------- за-аромъаконюховъѥсм(ьвс)просил передѻлексѥ(м)ъпередоньдрѣ(ѥм)ъчто изстадалошадн(е)погиблоньдр(ѣѥв)овсе(т)о ималиѻспода·р҃··аѣдапочне------ передъѥлбугоюперед--------- ачтоѧзъѻтдал----------------- (зам?)ноюпошло·ѯ҃·идвоѥлошадазаменедашь ·л҃·роидвоѥис(т)ороюмо(ѥю)по(ш)ла·ѳ҃·лошадеи ктобѣипошлоза(и)ныѥпомора(з)аѻсподои,а се кони турабиѥвы а от ѥздовны‐ хъ жеребець ·в҃· конѧ саврасы лошачька ·в҃· сивъ коуро лошачек гнѣд да -------- лошачек кооуръ да другои с(и)въ ост(а)влен турабьѥвѣ женѣ а (с)традных лошадѣи двоѥ а тро‐ ѥ жеребѧтъ лоньских да кобыл страдных же ·ѕ҃· да к(о)былка лоньскаѧ а всѣх ѣздо‐ вных девѧтер(о) а страдных двоѥнатцатеро двѣ коровы н(а) дворѣ ·в҃· вола а ·ѕ҃· коров ѥго же страдник ѣдѧтъ молок ·г҃· боров в саду и оутича ·еӏ҃· а на погребѣ котел пивнои желѣзен да горнець желѣзен же да вѣде‐ рце мѣдѧно да котел мѣдѧнъ вѣдра въ два да сканець жестѧнъ а стоговъ ·вӏ҃· и стогъ вѣлѣно же турабьѥвѣ челед с людми ѣсти а люди турабьѥвых молодых ѻникѣико молчан игнатко мос(ѣи) баирамъ ахмед ѻнташь жалорь ѥска а страдни‐ ковъ ·еӏ҃· созонко мосѣи лухов(ъ) ѻртемик ивака чермен родивонко иванець ѧковъко да четы‐ ре паропки д(а) ключник а оу тѣх ѥго людеи четве‐ ронатцатеро конь а при сох турабьѥвых а ко‐ ровъ ·ѳ҃· А в дѣлѣ на людех серебра оу григорь‐ ѥца полтин оу ѻстафьѥца полтин оу бѣлка полтин оу семенца полтин оу сидора полтин оу мосѣи‐ ца полтин оу осѣица полтин оу курьѧна полтин а всего серебра на людехъ турабьѥва в дѣлѣ ·д҃· руб а конюх сказываѥ(т)ъ суждальски‐ ѥ лошад кобыл бура да ворона да пѣга да рыжа тѣ четыре страдныѥ три же ихъ жеребѧтъ а жереб(ч)ики лоньскиѥ (в)орон да рыжь (д)а чал да сивъ да гнѣд бѣлоногъ (д)а кобылки лоньскиѥ (са)враса бѣлонога (г)нѣда бѣлонога ж(е) да гнѣда да голуба да му‐ (х)орта кобылка а страд(ны)ѥ карѧ с жеребѧ‐ (т)емъ да вор(он)ыхъ кобыл двѣ да сива да воро‐ на же кобыла да жеребчикъ гнѣдъ бѣло‐ ногъ да стара кобыла бу(р)а да жеребчикъ четв(е)ртак ворон а всѣхъ л(о)шачков и кобыл (и) жеребѧтъ ѻтдал (ѥс)м(ь к)ощѣю посель‐ ского человѣк дватцат(е)ро и шестеро а се дал передъ ѥлбугою п(е)ред ыгумном перед федором ылиин(ь)ским пер(е)д (кл)имом перед пе‐ тром перед гу(р)ьѥвым Приписка (с поворотом на 180 градусов): а ѧзъ взѧл лошачка ·в҃· сивы д(а ры)жь да гнѣд да ворон да жеребчик ло(ньс)кои рыжь звѣздк(а) в чел ---------------- за-аромъ а конюховъ ѥсм(ь вс)просил перед ѻлексѥ(м)ъ перед оньдрѣ(ѥм)ъ что из стада лошад н(е) погибло ньдр(ѣѥв)о все (т)о имали ѻспода ·р҃·· а ѣда почне------ передъ ѥлбугою перед --------- а что ѧзъ ѻтдал ----------------- (за м?)ною пошло ·ѯ҃· и двоѥ лошад а за мене дашь ·л҃·ро и двоѥ ис(т)орою мо(ѥю) по(ш)ла ·ѳ҃· лошадеи к тобѣ и пошло за (и)ныѥ помора (з)а ѻсподои,"‛Вот кони Турабьевы: Из ездовых – жеребец, два коня саврасых, два лошачка – сивый и каурый. Лошачок гнедой, да - - - - - - - - лошачок каурый, да другой сивый оставлены Турабьевой жене. А рабочих лошадей две и три жеребенка годовалых, да рабочих кобыл 6, да кобылка годовалая. А всех ездовых девять, а рабочих двенадцать. Две коровы во дворе, два вола; и шесть коров, от которых работники пьют молоко. Три борова в садке (для откорма) и уток ({букв.:} утиного поголовья) 15. А на погребе котел пивной железный, да горшок тоже железный, да ведерко медное, да котел медный ведра в два, да ларець жестяной. А стогов 12 и (еще) стог. Велено же Турабьевой челяди есть со слугами. А молодых людей у Турабья: Оникейко, Молчан, Игнатко, Мосей, Байрам, Ахмед, Онташ, Жалорь, Еська. А работников 15: Созонко, Мосей Лухов, Ортемик, Ивака, Чермен, Родивонко, Иванец, Яковко, да четверо слуг, да ключник. А у тех его людей четырнадцать коней, принадлежащих Турабьевым «присохам»; а коровъ 9. А «в деле» за слугами денег: у Григорьеца полтина, у Оста­фьеца полтина, у Белка полтина, у Семенца полтина, у Сидорa полтина, у Мосейца полтина, у Осейца полтина, у Курьяна полтина. А всего денег Турабья за людьми «в деле» 4 рубля. А конюх сообщает о суздальских лошадях так: Кобыла бурая, да вороная, да пегая, да рыжая — те четыре рабочие; у них три жеребенка. А жеребчики годовалые – вороной, да рыжий, да чалый, да сивый, да гнедой белоногий. Да кобылки годовалые – саврасая белоногая, гнедая тоже белоногая, да гнедая, да голубая, да мухортая кобылка. А рабочие – каряя с жеребенком, да вороных кобыл две, да сивая, да тоже вороная кобыла. Да жеребчик гнедой белоногий, да старая кобы­ла бурая, да жеребчик четырехлетний вороной. И всех лошачков и кобыл и жеребят я отдал Кощею, человеку посельского, двад­цать шесть. А это я дал перед Елбугою, перед Ильинским игуменом Федором, перед Климом и перед Петром Гурьевым’. {Приписка:} ‛А я взял двух лошачков сивых, да рыжего, да гнедого, да вороного, да жереб­чика годовалого рыжего, звездка во лбу, - - - - - - - - - - - - - - - - . А конюхов я спрашивал перед Олексеем и перед Ондреем. Какие из стада лошадей Ондреевы лошади не погибли, всю ту сотню забрали госпо­да. Не начнет ли он (Ондрей) [бить челом?] перед Елбугою и перед - - - - - - - - - -. А что я отдал - - - - - - - - - - - - - - - - - |[за мною?] было 62 лошади; а за меня дашь 32. Мне в убыток перешло 9 лошадей на тебя; перешло и на других. Падёж – за счет господ’.",,,moscow_3
3,https://gramoty.ru/birchbark/document/show/zvenigorod/3/,zvenigorod,Грамота № Звен. 3,Звенигород Галицкий,1120‒1140,Буква «а» и рисунок,а,а,,,,zvenigorod_3
