text,century,city,year
... ...ꙑль со пѧт... вьсть : а ·ѧ· посолоу дьскꙑе кнѧжь : а иваноу молови оти восоль сьмь на дсѧть коуно,XII_2,torzhok,1190
... ...инъ про... ...ъ собѣ вѣ... ... крилъ ес...,XII_2,smolensk,1150
слово добро ѿ фомѣ к ѥсифу цто позвалъ тебе · сава здѣ суду нѣть ...,XV_1,novgorod,1425
уо куолотиница :-҃: гри и девѣ куон- ... уо голуози :е҃: гри : уо лодꙑге :д҃: гри : уо ... уо играта :д҃: гри : уо саве :е҃: гри,XII_2,staraya-russa,1170
Фрагменты 1 и 2 ...евьник... ...ъд... ...кꙋпи съ дъва ... соли и не ... Фрагмент 3 ходма а кощѣ... ѣ не кꙋпи а то воют-... Фрагмент 4 ...мъ на полъ ...,XII_2,torzhok,1190
...ѫлечи порꙋчи‐ ...въ · а посъли къ ѧ...,XII_2,smolensk,1150
члбтьѥ ѿ нестерка гну ивану борисовичу ... ... мѧ гн҃е ѥси пожаловал... ...,XV_1,novgorod,1415
ѿ петра къ василеви въдаи :ꙅ: коунъ и гривьноу вꙑшѧтѣ али ти не дасть а пристави на нь отрокъ,XII_2,staraya-russa,1150
кошькѣи,XII_2,torzhok,1190
... васидъпиздъ... ...,XII_2,smolensk,1150
... ты пришли страдникы ...,XV_1,novgorod,1415
ѫ кюрила ногата · ѫ олекшѣ кна : ѫ коузьмѣ ·г· коунѣ ѫ нѣжебоудица · ѫ дъмитра ѫ дорогонѣжица ·в· ногатѣ ѫ тоцьовица ·в· ногатѣ : ѫ жизнобоуда ·ꙅ кър ѫ данӏ‐ ·-· коунѣ ... ...,XII_2,staraya-russa,1150
оу хот-,XIII_1,torzhok,1210
... шь лодьѧшьла пере... ...,XII_2,smolensk,1190
поклонъ ѿ михаӏлѣ · к осподину своѥму тимофию · землѧ готова надобь сѣмѧна пришли ꙩсподине цлвкъ · с проста · а мꙑ не смиѥмъ ни · ӏмать ржи безъ твоѥго слова,XV_1,novgorod,1415
покланѧнье ѿ мирслава ко жирошькѣ створѧ добрѣ възмѧ поцостое пои же ... ...,XII_2,staraya-russa,1170
мацешини же дети се соуте гордосте : непокорение : прекословее : презоресво : хоула : кевета : зломꙑслие : глево : вражда : пеѧнесво : игрꙑ неприѧзнинꙑ и всѧкаѧ злобе : а кало есте клевета · хоула · гнево осоужение прекословее : сваро : бои : зависте : вражда злопоминание : непокорение злосердее : злии помꙑсли : смехотворение : и всѧ игрꙑ бесовескꙑѧ : та же пакꙑ запоисво : резоимание : грабление : разбои : татба · дшегоубление потвори поклепо отрава блоуди прелюбодеѧние цѧротворение,XII_2,torzhok,1190
...вич и брат ѥго к тимофѣю ...ъ на дорѣ помѣ‐ ... ...иде на ново к па‐ ... ...нѣ гн҃е буде ѿ васъ ... ...е жалуѥте ино ... ...бꙑвать · а вамъ ... повѣдать,XV_1,novgorod,1415
... ...лавица г· рѣзанѣ : ѫ жир... ... рѣзана : ѫ храпа рѣзана,XII_2,staraya-russa,1150
грамота ѿ рожнѣгѣ · къ мѣ... ... присъли · полъ · гривнѣ мо... дьне не присълеши ли · а ... ... въ соль ти есмь дъ... ... повѣжь,XII_2,torzhok,1190
да цо бъ ти година ѿтъправить ѻтьцу ино бъ добро да только буде которому мъсель до водълѣ ино надо бꙑ дворѧнине а приставе ино здѣсе филисть ѥхать хоце а судъно ѥсть у мене а хлѣбѣ сухѣи су и тъ саме ѿпразновавъ да поѥдь сѣмъ а хлѣбе здѣсе в,XV_1,novgorod,1415
оу мила гривена : оу михалѧ гривена : оу ильикѣ довѣ грѣвенѣ оу коснилѣ довѣ : оу клопоушѣ довѣ грѣвенѣ : оу ѧринѣ гривена : оу поутилѣ гривена оу гривена : оу сновиѣ гривена : оу нѣговита поло гривенѣ,XII_2,staraya-russa,1150
... любо сѣмо присъли · а · твои приплꙑваеть · а·же · оу·сторовѣе · а · съдежемъ на товаръ,XII_2,torzhok,1150
... ѥсми сикли · суки · на рики · ...у · давꙑдовꙑ присиквали ... оу ...ана оу шеменкина конь пале,XIV_2,novgorod,1390
'+ оу малѧтѣ ·в҃· бьрковьска · оу лъбꙑнѣ бьрковьске · оу въорѣ ·г҃· бьрковьск- · оу къргь бьрковьске · оу домажира бьрковьске · оу жасъка бьрковьске : оу мал бьрковьске оу рꙑка бьрковьске · оу страхотѣ е҃ бьрковьскъ · оу промꙑсла бьрковьске : оу неберешѣ бьрковьске оу це... мелкие изолированные отрезки не воспроизводятся ... ...ъногѣ ·в҃· ногатѣ,XII_2,staraya-russa,1150
... огафиѥ уозцинку и вꙑткала и тꙑ ко мнѣ пришли а не угодице с кꙑмъ прислать и тꙑ у себѧ избѣли,XV_1,novgorod,1415
"оу орьшинее поло пѧть рѣзане : оу боришьковее :в҃: ногать : оу короцьковеи :в҃: ногать : оу гюрегевее :з҃: рьзано : оу тьшье :в҃: ногать : оу неделеке безоубаѧ :в҃: ногать : при повороте листа на 180 читается еще одна запись почерком, похожим на основной, но, видимо, все же не тождественным ему, которая затем была зачеркнута оу милокѣ ѧкиме : пло пѧтѣ",XII_2,staraya-russa,1150
целобитиѥ  леньтьѧ к ...‐ ю ходилъ · ѻ̈сподину · снъ мои ... ... ...ѧнъ пшенъке ... взѧлъ ·ӏ· кадець пшеници ... а нꙑни цто у насъ ... ...,XIV_2,novgorod,1390
'+ негошека дове на десѧть коуно оу дедене пѧть коуно оу чюдоке пѧть коуно оу деретокь пѧть коуно оу несодицевее пѧть коуно оу таишинее семе резано оу косениле пѧть коуно оу боришековее тьри коно оу хъловее пѧте коуно оу надеековее пѧте коуно оу поутешинее тьри коуне оу безоуевее цетꙑри коуне,XII_2,staraya-russa,1170
поклоно ѿ карпа · к осподину · моѥму фоми · бꙑло ѥсми ѡсподинь · на пустопьржи · рожь ѥсмь роздилило · с ольксоӏ ·ӏ· съ гафанкомо · ньмного ѡсподинь · ржи · на твою · цасть · два ѡвина · цьтвьрти · а пѧнтьликь видьль самь,XV_1,novgorod,1405
... ... гривна и ӏ коу·но · оу т... ...дк-·о·ро·мѧ·вь... ...,XII_2,staraya-russa,1150
... ...‐ имъ цоловѣкомъ грамотку пришли · таино,XV_1,novgorod,1405
а б в г д е ж ꙅ з и ӏ к л м н о п р с т у ф х ѿ ѡ ц ч ш щ ъ ꙑ ь ѣ ѧ,XIV_2,staraya-russa,1390
... ухо к тобѣ с васильѥмъ со желутковꙑмъ и тꙑ ухо положи на судѣ а на мене се шли на томъ цто еси конь позналъ у нѣмцина и ухо ѥси за мене дале и нѣмцине с себе поводъ сложиле а веглесе на вигуѧ и тꙑ григо ... ... на передъ рублѧ на передъ на мене се не надѣи,XV_1,novgorod,1405
а б в г ... н о - - - т у ѳ х ѿ ... ъь ѣ  - ...,XIV_2,staraya-russa,1350
... ѿ ѻнтана ... ...у · мъю ... · а съ свъѥ‐ ... ... свъѥи · лю‐ ... ... есмь зьмлю ... ѥрмълѣ : ц‐ ... ... ѻспъдинь ... на ѥрмълѣ ... и · пръ ту ... ...вѣдаю : п‐ ... ...лѣ : так‐ ... ...нюю : а ... ...ть ·,XIV_2,novgorod,1390
...а оу плю... ...те берековеско ... ... берековеск- ...,XIII_2,staraya-russa,1290
поклоно ѿ фалеѧ ко ѥсифу послале ѧзо к тоби · беросто написаво вꙑшли загое беросто,XIV_2,novgorod,1390
'-,XIII_2,staraya-russa,1290
во ӏмѧ ѡц҃а ӏ сн҃а ӏ ст҃го дх҃а ... ѳетиниѧ ѿходѧ сего свѣта ... ...‐ ь при своѥмъ животѣ ...,XV_1,novgorod,1405
...и возеехале али ти цега восхоце а молисѧ це‐ ...,XIII_2,staraya-russa,1250
...д... мъне...,XV_1,novgorod,1405
...ороуке·,XIII_1,staraya-russa,1210
ѿ ꙗкова · къ ѥвану что слешь ко мнѣ про серебро то вѣдаю аже тꙑ дале серебро на собѣ · то вѣдаю а иного не вѣдаю како ли тꙑ венилесѧ како ли что дале ѥси рубль на собѣ,XIV_2,novgorod,1370
`+ ѿ матеѳеѧ ко винилу добꙑваи вереи дома и по пѧти гривоно крини а ѿтоселе сѧ не надеи а молови потру камо еси дело два воза суща исоправи не исоправищи ли а сто гривено за два воза а цето ти сѧ остало суща то остави ести а тенота купи безо отоступа,XII_2,staraya-russa,1190
...‐ дину своѥму много целомъ бью · а сиротѣ тобѣ осподине и по томъ приходѧ · куньницею на годъ ·,XIV_2,novgorod,1350
поклоно ѿ коленеча ко самоуиле не печали селе ти есемо коломене на лодию,XII_2,staraya-russa,1190
фешке юрьгию целомъ бьѥ ... соле на борзи не бꙑла ѿ тебе соль по ·в· года мни да пр... ... купиле ...,XIV_2,novgorod,1350
... :в: коуне а оу жидене :в: ногате ...,XII_2,staraya-russa,1190
... давꙑда ѻбидѧ и ѻ‐ ... ... ѡнъ ...,XIV_2,novgorod,1390
зелени добре,XII_2,staraya-russa,1150
... съ братьєю · ... гсне ни ... ...оривъ ... ... жеребец... ...ѧ оу се... ...литъ ...,XIV_2,novgorod,1350
... ѫ игрьца полъ кꙋнѣ : ѫ годꙑге ·г· кꙋне : ...,XII_2,staraya-russa,1150
...ле оу федора оу васи‐ ... сказивале,XIV_2,novgorod,1370
ѿ радослава ко хотеславоу възми оу прасъла :в҃: гривене и :е҃: коуно ѧкове брате еби лежѧ ебехото аесово,XII_2,staraya-russa,1150
... гривна : ꙋ селихѣ гривна : ꙋ ѥ... ... ꙋ смона ·,XIV_2,novgorod,1370
оу : пе:ре:нѣ:га :ꙅ҃: кн҃ъ : оу : съ:бꙑ:сла:ва :ꙅ҃: кн҃ъ : оу : бра:то:нѣ:га :г҃: кн҃ѣ оу : плѣ:ше:вѣе :в҃: кн҃ѣ : оу : сто:и:нѣ:га :в҃: кнѣ : оу : за:ви:жѣ:е :г҃: кнѣ : оу рь:мье : кна : оу : соу:шка :в҃: кн҃ѣ : оу : ѧ:кшѣ :в҃: кнѣ : оу : жѧ:дѣ:на :г҃: рзнѣ оу : поу:ти:лѣ : оу : носо:ви:чѧ :г҃: кнѣ : оу : поу:ти:лѣ : кн҃а : оу : не:бе:ре:ши:нѣ:е :г҃: кнѣ оу : ма:лѧ:тѣ :в҃: кнѣ : оу съ:да:на :г҃: кн҃ѣ : оу : но:са:тъ:кѣ :в҃: кнѣ : оу сестра:тѣ : кн҃а,XII_2,staraya-russa,1150
... ивана · ко ... ...убе · те ї м... ...ите · ꙗзъ ... ... саме · буду · ...,XIV_2,novgorod,1370
... коуно + въдаль есемо коромилѣцоу съ кꙑѧниномо ·з҃· коуно,XII_2,staraya-russa,1190
...кони федорстъкꙋ ꙩко роставили сох- ...,XIV_2,novgorod,1390
... у прусовѣе гривна бьз рѣзанѣ вода ...,XII_2,staraya-russa,1190
... федорко в город- ...,XIV_2,novgorod,1390
поклонъ ѿ грорьи ѥрмолѣ и ѡзѣкѣю · посласмь к тобѣ шесть боцекъ вина · какъ палѣцѣ хвати и тꙑ то ѡсмотри горазно а продаи какъ и тѣ по тому же и ли то продале тꙑ то ѿшли а моимъ робѣтамъ не даваи серебра пошли з долгомъ,XIV_2,staraya-russa,1390
...ть в неи гвозду · а стоѧть во потклѣтѣ кто придеть з беростомъ ...,XV_1,novgorod,1415
поклонъ ѿ ѡксини ӏ ѡнани к родивону ӏ сестри моѥӏ татиѧни поӏдите в городъ к сеӏ недили давати ми доци а сестри моѥӏ приставницать а ѧзъ ѡсподину своѥму родивону ӏ своӏ сестри моѥӏ много целомъ бию,XIV_2,staraya-russa,1390
...‐ те даите намъ волно ходити ... кунахъ землю вамъ ꙩ̈цистимъ · а вамъ кланаѥмсѧ,XIV_2,novgorod,1350
у нездиница поло цетвирти розмири у шелви п... у ивана ·в· розмири у херитана розмира у см-... у липки поло цетвирти... у павла у попа... у...,XIII_2,staraya-russa,1250
въ имѧ · ѻца · и сꙑна и свѧтго дх҃‐ а се азъ бъ бж҃и · михаль · ѿхождѧ живота · сего · пишю · рукопсаниѥ при своѥмь · животѣ · что ми кобилъке и ·в҃· рублѧ вѣдатисѧ братии моѥи а дѣтемъ · моимъ нео · а грамот... ...,XIV_2,novgorod,1390
...и око ми кр...,XIII_2,staraya-russa,1250
ѿ бориса · ко ностасии · како · приде · сѧ · грамота · тако · пришли ми · цоловѣкъ · на жерепцѣ зане ми · здѣсе · дѣлъ · много · да пришли · сороцицю · сороцицѣ забꙑле ·,XIV_2,novgorod,1390
оленечьваѧ въдала роукоу въ трехъ гривенахъ гюрегевии рекла тако ѧко же есмо в анихъ вѣверичахъ тако же во сихъ :×: торолина грамта,XII_2,staraya-russa,1190
... проклꙋ и наꙋмꙋ со лѣновихтомо ӏ цѣлованиѥ не надоби ... побѣглѣ во нѣмьцѣ а товаро ꙋ ...,XIV_2,novgorod,1370
...цанес... ...нокаоу... ...лѣно... ...алеск... Оборот ...анесм... ...ищаоу... ...-лима... ...скѣза...,XII_2,staraya-russa,1190
се соцетесѧ бобро со семеномо на поло теретеѧ рублѧ на г҃· годꙑ поло цтевертꙑ натцѧ гривно а рубл ...,XIV_1,novgorod,1330
......................нꙑ... ......лати..........коулот... ...титьавла.......омовꙑ...,XII_2,staraya-russa,1170
"н в ж п с н д м к з а т с ц т ... е ѣ ѧ и а е у а а а х о е и а ... Запись читается по вертикали, столбец за столбцом: невѣжѧ писа недума каза а хто се цита ...",XIV_1,novgorod,1330
покло ѿ ѡлѥскадра к матьрь мовли данило григане в ѥсмо с тво...,XIV_1,staraya-russa,1330
селишки дати т,XIV_1,novgorod,1330
ма · ѿ илӏина дни до ⟦хр҃т҃ов⟧ велика дн҃и,XIV_1,staraya-russa,1330
