name,corpus,text,date,region,category
1045,birchbark,+ ѿ лоукѣ : и ѿ микоулѣ : къ сновидоу не коупила ти есевь ницего же : заволъцескаѧ бела :и҃: гривенъ : а възди на весть : какоу любо во бъръзѣ : ѫже бꙑховь дома : нъ роспоутие : и челоую вꙑ : домъкѣ [·д·ї·]коун[е] вꙑправить вевьриц : и семи гривенъ савь гюровицю присоунить до мене : творитьсѧ вонемъшиѿ л,1140‒1160 (с вероятным смещением назад),Новгород,письма
1046,birchbark,[+] отъ оуеца к[ъ] #съ#за#уфо#о#[л]ив[е]#езмѣнъ ати#наюв#туив#[о]ни бра своего понеже#жив#рати оу менебуде#[т]ибꙑ#на#мъи #али # моем#оми #о[и]#[ж]#,1140‒1160 (с вероятным смещением назад),Новгород,письма
1047,birchbark,+ ѿ дъмъка : къ сновидови попътаи оуѥча ѥ ли тоумои дълъженикъ : али ти ѥстѣ тоу а възѣми на нѣмѣдъвѣ гривенѣ : али ти ѥго нѣ тоу : а тако зе ми възъдаи,1100‒1120 (с вероятным смещением вперёд),Новгород,письма
1049,birchbark,#нъ ти отъда[мь] а [жи]#боуди а словѧто крьни ми#брѣ :в҃: коун[е] а,1100‒1120 (с вероятным смещением вперёд),Новгород,письма
105,birchbark,+ ѿ сьмъка къ коулотъкѣ ожето ѥси казале несъдѣ вѣверичь тихъ дѣлѧ коли то есиприходиле въ роус[ь] съ лазъ(в)къмъ тъгъдъ възѧле оумене лазъвке переѧслав[ь]лѣ,1160‒1180 (с вероятным смещением вперёд),Новгород,письма
1050,birchbark,о словѧтѣ грамота къ гюрьцеви вꙑведъ отрокъна микоулоу и на лѣшѧнъ възьми полъ питѣгрв҃нѣ славомире сьде не въда а есте прави авꙑведете отрокъ на славомиръ,1100‒1120 (с вероятным смещением вперёд),Новгород,письма
1051,birchbark,# (пов)[о]знико цетверете бор #ю и семь мордоко поло рꙋ(блѧ),1320‒1340 (с вероятным смещением назад или вперёд),Новгород,деловые записи
1053,birchbark,ѿ онос[а] покл(он)о · ко (да)нил(ѣ с)ꙑнꙋ м(ое)мꙋ при[ш]и м[и] сор#ю по(ло)тене(це)по(р)от(о)ки · [п]овод(о) сестр(ѣ) мое · п#пришли полотена · а бꙋдꙋ жив(о)заполацюсѧ,1320‒1340 (с вероятным смещением назад или вперёд),Новгород,письма
1054,birchbark,поклонъ ѿ митъ к луке ӏ ко ѳралю у лодиӏ ·в· беремене кожь ӏ коробиюѧ ӏ кругъ воскуӏ курово беремѧ кожь малое куре даӏ грѣвну ӏ ·г· кунъ#[о е]му полуторъ грѣ(вни) у кого грамота у тогополуторъ грѣвни,1260‒1280 (с вероятным смещением назад или вперёд),Новгород,письма
1055,birchbark,#[у]# на розва[ж]и · уличи · вдаи · кожюѡстафьи · деꙗкону · аꙗзъ с тобою ⁘ саме сѧ ведаю · кожѧ ми надобе,1260‒1280 (с вероятным смещением назад или вперёд),Новгород,письма
1056,birchbark,(д)анилово л(оукъшько) [л(оукъньце)](а) петрило ши(ле)л,1075‒1100,Новгород,ярлычки
1057,birchbark,на въдъмолѣ :г҃: десѧте гривьнъ и гивьна и :ӏ҃: коунъполъ осма съта : на съкроудоу полъ шестѣ гривьн[ѣ],1160‒1180,Новгород,деловые записи
1058,birchbark,ѿ содила ко радокоу мꙑсла#коуноу :в҃: гривен[е] #:в҃: гривене а оу #,1160‒1180 (с вероятным смещением вперёд),Новгород,письма
1059,birchbark,ѿ перьнѣга къ гълочаноу въземи почьстѣе ѧкъ тъ еси мъловиль съ мно въсади же и семълика кълико въземоу въдамъ ѧзъ,1160‒1180 (с вероятным смещением назад или вперёд),Новгород,письма
1060,birchbark,# (т)[и е]см[ъ р]о[т]е# (грам)[оту] посълалъ а тꙑ мъне не[присъ]л[е]ши кунъ сем[и] гривънъ и зї [резанъ] п[о]им[а]въ у мен[е] м[сч]ън[ое] (в)[ъда]ж[ъ] госпо(ж)и ·,1160‒1180 (с вероятным смещением назад или вперёд),Новгород,письма
1061,birchbark,# а попърътишь да боудь ни тобе ни мъне и целю та ·:,1160‒1180 (с вероятным смещением назад или вперёд),Новгород,письма
1062,birchbark,#ть [и] д[о] д[рож]#а нꙑнѣ на недѣлю хо[ч]емъ поити · н#,1120‒1140,Новгород,письма
1063,birchbark,#[д]#[ѧть] : оу пьтра поло пѧта дьсѧть : оу станѧтѣ [п]#са дьвѧть оу волохва шьсть [д]#сѧтъ оу сонови#[а] шьсть дьсѧто сигово : оу солого[в]#и дова дьсѧт#[рад]# [д]ьсѧть оу дан[ьш]#,1180‒1200,Новгород,деловые записи
1064,birchbark,#[а]# [гривна :]оу [:]о·лексе :д҃: коне :и: гривна [:]оу[:] #коуно ·и· гривна :оу: ѳларѧ :е҃: коуно #коуно ·и· [г]ривна :оу: теренет(еѧ :) # (:)#(: гри)[в]н[е] :оу с[т]епана :ӏ: коун# [а :]з: # п[о] #ила ⁞ михале :о:ретемеѧ : еваневасиле :о:сипе : вареге [:]онисиме лагине нестере,1260‒1280 (с вероятным смещением назад или вперёд),Новгород,деловые записи
1065,birchbark,#у [п]ос[а](д)и мѧ гне на лу(чѧ)ниновѣ · мѣстѣ #,1380‒1400 (с вероятным смещением назад или вперёд),Новгород,письма
1066,birchbark,внуцат[ꙑ] а мнѣ ть и моимъ дѣтьмъ · ·в҃· со[х]у #та псать · и правда взѧть а будет[е] #т#,1340‒1360 (с вероятным смещением назад или вперёд),Новгород,официальные документы
1068,birchbark,#а#[ск]о#за д гривꙑ ӧс(мь десѧтъ кадьць жита) за трицѧть пѧтьнацѧть кадьць ӧвса за три грвꙑ по[л](ъ трет)[и]ѥ гривънꙑ оу тимошки цьтꙑрь катци ржиза дви гривнꙑ оу дитьи на берези кожю за полъ гривнꙑ полотна десѧть локотъ холоста веретищь за полъ гривнꙑ пѧть ӧвцино мѧтꙑхъ,1340‒1360 (с вероятным смещением назад или вперёд),Новгород,официальные документы
107,birchbark,# ож[ь] хоцьши поит(и) #цьто ти товара во роукахо #,1180‒1200,Новгород,письма
1070,birchbark,ю # #[н]е# #поудоу · а тоби · [м]#бье · целомо · ѳо[м]#ороудие · с то#ю,1300‒1320,Новгород,письма
1072,birchbark,степанова полутори илие поло гривнꙑ тимощи поло гривнꙑ полутори лисею василюсьмницѧ ꙋшку семницѧ вхогод҃: золотнко и дви серебра,1200‒1220 (с вероятным смещением назад),Новгород,деловые записи
1073,birchbark,ѿ гаврили ко канадратоупоиди симо,1260‒1280 (с вероятным смещением назад или вперёд),Новгород,письма
1074,birchbark,#ъ сꙑнъ [ви]#[к]а[к]о [и т]ы а нонь ѡсп# # #мѣ подаите #,1380‒1400 (с вероятным смещением назад или вперёд),Новгород,письма
1075,birchbark,а оуфомки взмиполтиноу ӏ ·коуниприказъ ѿ ю(рьѧ) # (к она)ни·ӏ т за т #идоую · ӏ · про[м](ꙑсли) #сака к с #ъ полтин #дахта #прода #,1380‒1400 (с вероятным смещением назад или вперёд),Новгород,письма
1076,birchbark,поклонъ ѡсподину ѧкову и ивану ѿ сирътъ что ѥси ꙩс[по](д)[и](не пожаловалъ)(л)[они р]убльмо насъ тъто рубль не дошелъ[д]о насъ в[ъ]с[пр]о[с]и ѡсподине #,1340‒1360 (с вероятным смещением вперёд),Новгород,письма
1077,birchbark,во имѧ ꙩца · и сн҃а · и сгто дха · се азъ рабъ б҃и · афанасъ пишюрукописаниѥ · при своѥмь животѣ · приказꙑваю животъ свои · сн҃у · своѥму · ꙩндрѣю · взѧти ми · оу ꙩафоносаоу дьꙗка оу кузмодемьꙗньско · полъ шести коробьиржи · оу конища полъ четверти кобьи ржи да ет· ꙩвсѧ · оув онисимка оу шадрина ·ѕ҃· коробе ржи · оу степанкаоу комарова коробьꙗ ржи · оу логꙑновꙑхъ дѣт· оу кудринихъ коробьꙗ · ржи · оу коста полъ гривни да ногата : оу зѧтѧ оу ѥрмолѣ полтѣнакоробьꙗ оу дыда шюба бара[н] · оу грѣшкѣ оу комара·з҃· к[о](робеи ржи) # полт[ѣ]ну а друга за мною,1380‒1400 (с вероятным смещением назад или вперёд),Новгород,официальные документы
1078,birchbark,(во имѧ) [ѡ]ц҃а ӏ съ҃на ӏ св҃ѧ[т]о(го дх҃а) #ѳн,1380‒1400 (с вероятным смещением назад или вперёд),Новгород,официальные документы
1079,birchbark,поклонъ · ѿ смена и ѿ ѥго дѣтеи · и ѿ моисиѧ · к михию · и к федору · и к несифу · и к нюрню · пошлите · позовникъ · по вицка · и по иванца по дроздова · и по ꙩнцифорова · ивана,1380‒1400 (с вероятным смещением назад или вперёд),Новгород,письма
108,birchbark,# дьсѧть#цьту увовъзь п[ь]шьно ти у дьвѧти гривь(но) #чь и кльтище у гривьнь у сумь двь гривьнькор[о]токꙑхо мородоко,1200‒1220,Новгород,деловые записи
1081,birchbark,# (с)[оц]кли [ӏ] # у ѡлькси ·з҃ӏ· бьлъ у вилива#ото в лембъви бьла у дмитра# ув ънъдрьѧ,1320‒1340,Новгород,деловые записи
1082,birchbark,уов ортимие уо посака три берековесеке,1320‒1340 (с вероятным смещением вперёд),Новгород,деловые записи
1083,birchbark,+ ѿ радила къ радонѣгоу дѣлаи цепи дъвои обои ладьнѣ не моутѧ мѣди розвѣсѧ намъ ти пожигати добрѣ нꙑнѣ къ свѧтъкоу двьръдо,1180‒1200 (с вероятным смещением вперёд),Новгород,письма
1084,birchbark,# марка ·з҃· бьлъ#[л]ици ·д҃· бьли#ла · у павшици#или бьла у [р]а#,1320‒1340,Новгород,деловые записи
1086,birchbark,# (пше)нкѣ сѣмо : кадь · а толока · гоши[ти] # (св)[ѧ]т[окъ],1340‒1360,Новгород,письма
1087,birchbark,+ ѿлькъшь къ дьмьѧнъкоу какъ ты за мъною творишь коун[о](у) #за въноухъцью ти :ѳ: коунъ показаль ти данило ем#възьми жь на нь въ трьть а ѧзъ ти с[ъ з]#[на]#внь дъвь гривнѣ а въноухъцѧ бьжѧл#ѧвлѧѧсѧ,1140‒1160 (с вероятным смещением назад),Новгород,письма
1088,birchbark,# (съ бр)атомокоснотини : съдила не сережере матие геще вълъдеславе лареене ме:кесереге (г)ри[г]а ѳедоре со братею борисе съ братомо сепоне оленьцеѳедере сънъмн съмене съ братъмъ,1200‒1220 (с вероятным смещением назад или вперёд),Новгород,деловые записи
1089,birchbark,[м]ного сгрѣших[ъ][ст]уфхѿѻцчшъ[ѣ]#[мо]на у насъ [ӏ]м[утъ] #ру# #ѻм[у]#,1360‒1380 (с вероятным смещением назад или вперёд),Новгород,varia
109,birchbark,грамота : ѡтъ жизномира : къ микоуле :коупилъ еси : робоу : плъскове : а нꙑне мѧ :въ томъ : ѧла кънѧгꙑни : а нꙑне сѧ дроужина : по мѧ пороучила : а нꙑнека : посъли къ томоу : моужеви : грамотоу : елиоу него роба : а се ти хочоу : коне коупивъ : и кънѧжъ моужъ въсадивъ : та на съводꙑ : а тꙑ атче еси не възалъ коунъ :техъ : а не емли : ничъто же оу него :,1100‒1120,Новгород,письма
1090,birchbark,#[у?] при[с]ли #ти есмь попоу о[т]#,1180‒1200,Новгород,письма
1091,birchbark,¦ ѧнока ¦ мацеха ¦ ѧкиме+ ѳома ¦ стш жена ¦ м#[х]а ¦ мати мику[ла] ¦,1180‒1200 (с вероятным смещением вперёд),Новгород,деловые записи
1092,birchbark,цто ходилъ пѣшь чл҃в#и соболинъ · ѡ[да]#кнѧжъ кост#н#,1320‒1340,Новгород,официальные документы
1093,birchbark,# любо · полтину # #кланѧець своему ѻс(подину) #,1380‒1400 (с вероятным смещением вперёд),Новгород,письма
1094,birchbark,челобѣтьѥ ѿ волоса ги҃ну к ъфоносу и къ михалѣ · первоѥ · оубѣле сꙑна моѥго · а нꙑноцо вамѥне · васѣлъке · и ѥска · а нꙑнь · ги҃не · ꙩт томъ пецалтесь · а ѥще на мене похупаѥтсѧ,1380‒1400 (с вероятным смещением вперёд),Новгород,письма
1095,birchbark,#[ома] а н[е ѻ̈]купаѥ# худо буде а на то у# (дѣ)теи и своихъ хоромо#не у те[бе ѻ̈]#,1380‒1400 (с вероятным смещением вперёд),Новгород,письма
1096,birchbark,поклонъ ѿ климентѣꙗ ӏ ѿ марьӏкъ п[ѧ]тк[у къ] оп[ар]ин[у] а# ӏване #,1380‒1400 (с вероятным смещением вперёд),Новгород,письма
1097,birchbark,ѿ миханла поклоно к офоносу и к теретнию ѡсподине пост[о]ить в орюдии томъ за родника моѥго теретиѧ и за братана ѥго а цто буть имъ надоби а то им ꙑ дать,1360‒1380 (с вероятным смещением вперёд),Новгород,письма
1098,birchbark,поклонъ ѿ тереньтеѧ к онътону и к моӏсиюоуж[ь] к вамъ шлю третьюю грамоту а вꙑко мни не пришлете накладьного серебра ни рꙑбъ нꙑни не пришлетек недили накладъного серебра нирꙑбъ ӏ слат[ь] ми по васъ [би]рици а на ме сѧ не жальте,1360‒1380,Новгород,письма
1099,birchbark,поклоно ѿ смена к офоносуи ѿ мортки к осподину · моѥмуцто половники · посажени · твоскииа нꙑни · постои за нихъ,1360‒1380 (с вероятным смещением назад или вперёд),Новгород,письма
11,birchbark,поклонъ ѿ смешка фоми цо оставиле воць козе у ми[к]и[шк]а дан[и]лку далъ каз(анъ),1430‒1450,Новгород,письма
1101,birchbark,иванко кузминъ далъ рбльу ѡртемьѧ взѧтъ рбль · шюстъс федкомъ далъ рбль · сава съпритꙑкою далъ рбль июдадалъ рубль самсонъ далъ · рбл[ь]микула далъ полътину · федъркобъшаровъ плтину далъ · ꙩсипъмшилъво плтину далъкукла далъ рубль · минка кулотинъ зарубою рубль дал[ъ]деньсеи · ѻлисѣи рубль далиабвгдежѕзиӏк,1340‒1360,Новгород,деловые записи
1102,birchbark,поклоно ѿ лукерии ки макти коли[в]ка ѡстави ѧ рубили свои возми а потину пришликланисѧ про потиноу сварити а це ремиѧприди сама симо слю ти бижалюбо сесрупришли хои,1340‒1360 (с вероятным смещением вперёд),Новгород,письма
1103,birchbark,#мъ мистакоу добриноу#д[ьни]коу задѣ,1160‒1180 (с вероятным смещением назад или вперёд),Новгород,письма
1105,birchbark,се ѿ соуботъкѣ къ гюрѣ се еси прода(ле)дѣтѧ мое а нꙑнѣ веди с[ѣ]мо налѣз[ъ]не налѣзеши ли ни приведеши къ мънѣа ѧзъ хоцоу къ кнѧзоу на тѧ,1160‒1180 (с вероятным смещением назад или вперёд),Новгород,письма
1106,birchbark,#[и пѧти гривь]но [п]о[пѫ] #[к]#[а]#шь а промъсли а ѧзъ ти шьль смольньскѫ : а ѫ ло# (ко)[ж]ѫхѣ на городищи а ѫ лѫкѣ ѫ бирицьвичѧ възь(ми),1160‒1180 (с вероятным смещением назад или вперёд),Новгород,письма
1107,birchbark,#ѥго гдѣ б[уд]#не покощено : ѻди[н]#,1360‒1380,Новгород,деловые записи
1108,birchbark,# [грив]но а самомуо творѧ[х]уо [в]о ньдьл[уо] # (во)[зидь в]о нь[дьл]уо ти + ко ньмуо едуо а уо бориса ти :ѕ҃:[с]ти тои гривьно нь лап[ь] в[озѧти] а из#[ти о] нь[мо] а восол[и]та# (п)[рисл]а[в]о [ти из г]орода стоѧничь фома# [бьрьг]уо [а х]арѧ на молодогь сокриль поло чьтвьрть на дьсѧть куонь,1160‒1180 (с вероятным смещением вперёд),Новгород,письма
1109,birchbark,# (де)жѧ у радошка пѧть деже рожи · жита дежѧ ꙩвса дежѧ пшеници зобница · у пѧнтелеѧ · пѧть деже рожи · ꙩвса полотретиӏ дежи жита ·в· дежи · ӏ зобница семени зобница· пшеници · зобница у ꙩфоноса рожи дежѧ ꙩвса · лонеского три дежи · у жихна · поло шестꙑ дежи рожи · ꙩвса пѧ·ть· горох[у]три зобници · пшеници · поло дежи у ꙩхна · полоутори · дижи · рожи ·у зубка пѧте деже ꙩвса · жита пѧ зобниче,1340‒1360 (с вероятным смещением вперёд),Новгород,деловые записи
111,birchbark,#авита сама на своемо ·ӏ· с#,1240‒1260,Новгород,письма
1110,birchbark,отъ рощенѣ къ ѧкимоу: крьнь кожоухъ гривьною : и цетꙑри ожьрелиѧ паволоцита въда иваноу нѣгодорожицоу а : коунѣ ти въ лодие боудѫть,1160‒1180 (с вероятным смещением назад или вперёд),Новгород,письма
1112,birchbark,#все#сѧ кто пьри а съць[тъ о]#въ треть до мене : оу домаслав#ѧ : #,1140‒1160,Новгород,письма
1113,birchbark,[ѿ и]ванка и ѿ мирослав[ѣ] къ иванкоу и къ #ѣ покланѧниестворита добро : моѧ падцерица : на радѧтинѣ оулицеа мълвита : посли вороже : цужу хълъстиноу : мнѣ нꙑнѣ : платити :и:҃ӏ: коунъ : а тъщѣ : роукѣ : а оно ти еси вꙑлгала оу иванка гривноу : а на то : любо си золотникъ : присли полѣпѣ : цемоу тобѣ тако дѣѧти не ослоушаи же сѧ : посли въ бързѣ,1180‒1200,Новгород,письма
1114,birchbark,# (·)[з](·) на ·ӏ·[сть л]оу[к]ън(ъ)жицемъ на соукънѣхъа жеребъка не продаите,1120‒1140,Новгород,письма
1116,birchbark,#къновидоу продаже то ти в(ъ) # не даи же скота никомоу[ж](е) #же то ти въ въръвонѣ#,1120‒1140 (с вероятным смещением вперёд),Новгород,письма
1117,birchbark,демен[тѣ]·и ꙗково илеꙗ · захареꙗ туфтѣибалинꙑ,1280‒1300 (с вероятным смещением вперёд),Новгород,деловые записи
